# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.08186267041228103,0.0,0.2603379393684205,3.8411612323044375,0.0,0.0
 0.06868829487285992,0.011795204631352389,0.17172073718214984,2.5000000000000004,0.08186267041228103,0.0,0.2603379393684205,3.8411612323044375,0.0,0.0
 0.09629710016130381,0.023182828748690452,0.4124634875854094,8.719781529410339,0.2547633466176519,0.0,0.2905674223613577,3.4415420416827467,6.26251930856788,226.8305072653454
 0.11690318250675152,0.034165885200517145,0.5330007066701384,5.849594166615474,0.44098018352691615,0.0,0.3252016623173743,3.075015031823759,9.03698402187562,134.64299845043922
 0.1337869958271291,0.04474740063112066,0.6267254458347018,5.551159408487664,0.6418831997175637,0.0,0.3650428618769808,2.739404339693675,11.89914934371915,169.52126083916704
 0.14823011495457053,0.054930417448613,0.7050427769542497,5.422466603543252,0.8590327378582157,0.0,0.41107180820687944,2.43266499924201,15.0348090481422,217.10405326958812
 0.1608949920262351,0.06471799614780567,0.7728127674520142,5.351018420019875,1.0942134228302425,0.0,0.46449545510054213,2.1528735943897352,18.569519754613488,279.0955400885473
 0.17217806836750682,0.07411321806691465,0.8326826509843546,5.306166662485992,1.3494756053535761,0.0,0.5268094201194142,1.8982196631436956,22.623456121592017,359.2935334621351
 0.18233945122041842,0.0831191886784084,0.8862937989698139,5.275969694429709,1.6271862739065632,0.0,0.5998808184968893,1.6669977921709218,27.330007398885996,463.1801936234873
 0.19156099972814794,0.09173904154211876,0.9347511273714155,5.254792984170135,1.9300920360119596,0.0,0.6860591210931436,1.457600328098012,32.84760274822607,598.3371821679643
 0.20009986042857866,0.0999759430860137,0.9646370672705133,3.499991503268147,2.261397611625412,0.0,0.7883260564549305,1.2685106521747593,38.79974006330151,697.0645761647328
 0.20836350418998098,0.10783309842975258,0.9508100264967801,-1.6732377596328996,2.624864438684428,0.0,0.9105005604954683,1.0982969625585168,43.983845087404426,627.3388802548271
 0.21658771160922297,0.11531375853393903,0.9095903985451688,-5.011987885321421,3.0249355991185536,0.0,1.0575223194520338,0.9456065196980054,48.64555817233995,566.8282482794176
 0.22477064408462846,0.12242122905083024,0.868572548808549,-5.012610071010909,3.4668955340608294,0.0,1.23584904854567,0.8091603106194775,54.00996968637149,655.5610143618726
 0.2329102025022488,0.12915888138143666,0.8277663215759836,-5.013321993516118,3.9570762312553813,0.0,1.4540207493596613,0.6877480946818618,60.22202582064144,763.1932612980845
 0.24100398174686702,0.1355301666257986,0.7871829774203908,-5.0141402340047625,4.503126196284237,0.0,1.7234729188161506,0.580223796430116,67.46538897659461,894.9296659863194
 0.24904921690036777,0.141538633373032,0.7468354414250923,-5.015084733445229,5.114365270886693,0.0,2.0597270825411047,0.48550121444550337,75.9752900866403,1057.7566656137753
 0.2570427201824519,0.14718795065442686,0.7067385953361289,-5.016179348901079,5.802258345646695,0.0,2.484163341654771,0.40255001884613273,86.05651996187729,1261.1779240564156
 0.2649808082674711,0.15248193793827133,0.6669096169183735,-5.017452312342161,6.581055983587194,0.0,3.026707551812555,0.3303920127338191,98.10896901109545,1518.3062873746076
 0.2728592210427633,0.1574246048780705,0.627368364767594,-5.0189363363629,7.468672733703645,0.0,3.729984389115849,0.2680976367938738,112.6644129259317,1847.5096862764328
 0.2806730360319793,0.1620202047991502,0.5881377953563219,-5.020667812766851,8.48790900164583,0.0,4.655868475255172,0.21478269957898533,130.44028676758418,2274.928938832731
 0.2884165893413034,0.16627330789378886,0.5492443746099698,-5.022683927225018,9.668177110927113,0.0,5.8960414296268855,0.16960532111852583,152.4194464910717,2838.381663495776
 0.29608342765367174,0.1701889032556669,0.5107183955557403,-5.025015199822108,11.047978494613318,0.0,7.589379110077062,0.13176308437039536,179.97006425194482,3593.4783855331443
 0.3036663438572198,0.1737725440262294,0.4725940092659482,-5.027668151199351,12.678515480045347,0.0,9.95119932363512,0.10049039994856673,215.02769405114836,4623.238455780377
 0.311157606933221,0.177030558471188,0.43490856106707765,-5.030586673641019,14.62903526729456,0.0,13.323365943080953,0.07505610851432905,260.37261907112156,6053.041330939115
 0.3185496186278752,0.17997036428780247,0.39770037414043696,-5.033567107794098,16.99482785632818,0.0,18.26104458108374,0.05476137991776661,320.04719239615497,8072.846173686282
 0.32583649119093533,0.1826009483350605,0.3610031634961511,-5.036071418391147,19.90924088188207,0.0,25.68182990844616,0.0389380353177685,399.9538897287879,10965.842567044392
 0.33301761902478005,0.184933616799673,0.3248331625038909,-5.0368134127609645,23.561480790611196,0.0,37.10911913520844,0.026947554221280846,508.58862190366335,15127.809264566904
 0.34010564454983033,0.1869831922388116,0.289160279106652,-5.032837885693964,28.22153575428881,0.0,55.00152914668914,0.018181312692834392,657.4545967996575,21002.460328320856
 0.3471444274974003,0.1887699398340504,0.25384325792510054,-5.017489734321756,34.26919117305132,0.0,82.89668019546752,0.012063209258103393,859.1904969665749,28660.622393046393
 0.3542510921001714,0.1903226013513079,0.21847963904924816,-4.976120423927572,42.20610810887189,0.0,124.11352117970402,0.008057139870780876,1116.8272852957957,36252.84190684343
 0.3616171233793197,0.1916827394519674,0.1846500576924995,-4.592646986514041,52.57716956187446,0.0,175.92239513943352,0.005684324609197224,1407.9578350910447,39523.39309491918
